Kontakt_ID;Kunden_ID;Name;Position;Email
1;10;Stefan Wolf;CTO;katrin@biexpertsug.com
2;1;Katrin Meier;CEO;marie@cloudsolutionsag.com
3;9;Fatima Schmidt;Analyst;tobias@bipartnersag.com
4;2;Fatima Meier;Analyst;marlene@cloudsolutionsag.com
5;10;Julia Schmidt;Projektleiter;katrin@biexpertsgmbh.com
6;6;Jonas Fischer;CEO;marie@fabricconsultingag.com
7;2;Fatima Becker;Analyst;katrin@fabricgroupag.com
8;6;Julia Meier;Berater;fatima@bipartnersag.com
9;6;Tobias Fischer;CTO;marie@dataconsultingug.com
10;6;Katrin Schmidt;Analyst;sven@dataconsultingug.com
11;10;Tobias Wagner;Analyst;julia@fabricgroupag.com
12;1;Marie Wolf;Projektleiter;lukas@biexpertsug.com
13;4;Fatima Klein;Projektleiter;marlene@fabricgroupag.com
14;2;Marlene Klein;Projektleiter;sven@insightconsultinggmbh.com
15;3;Sven Wagner;Analyst;marie@dataconsultingug.com
16;5;Marie Schmidt;Analyst;stefan@bipartnersag.com
17;6;Lukas Neumann;Berater;fatima@fabricconsultingag.com
18;7;Marlene Wolf;CTO;fatima@cloudsolutionsltd..com
19;7;Tobias Neumann;Projektleiter;jonas@cloudsolutionsag.com
20;5;Fatima Fischer;CEO;marlene@bipartnersag.com
21;7;Tobias Neumann;Projektleiter;julia@fabricconsultingag.com
22;6;Jonas Becker;CTO;tobias@biexpertsug.com
23;3;Jonas Wolf;Berater;fatima@bipartnersag.com
24;8;Tobias Neumann;Projektleiter;marlene@fabricgroupag.com
25;9;Marlene Schmidt;CEO;marie@cloudsolutionsltd..com
